recno_1,Name_1,RAJ2000,DEJ2000,pmRA,pmDE,PrAll,PrPM,OName,recno_2,Name_2,n_Name,l_WLi,WLi,u_WLi,l_WLiF,WLiF,u_WLiF,TempV,TeffChi,LBol,l_ALi,ALi,e3ALi,Prot,Amp,l_Vsini,Vsini,PClass,LiClass,logLX_Lbol
105,HII2415,57.420506,23.341612,19.6,-43.8,1.0,0.97,HII2415 HD23924 Tr670,89,HII2415,,,41.0,,,41.0,,8000,8069,7.01,,2.788,0.112,,,,30.5,--,--,
106,HII2462,57.459827,23.705631,14.86,-40.87,1.0,0.9,HII2462 Tr680,90,HII2462,,,110.3,,,110.3,,5250,5467,0.436,,2.425,0.082,6.92980587,0.0216,,4.9,S,--,
107,HII2506,57.485363,23.218641,18.5,-43.8,0.99,0.95,HII2506,91,HII2506,,,128.0,,,108.0,,6000,6005,1.23,,2.933,0.106,2.12103871,0.0088,,13.8,A,--,
108,HII2588,57.551674,24.532957,15.81,-42.09,1.0,0.9,HII2588 HCG387 Tr712 DH658,92,HII2588,,,78.0,,,78.0,,4400,4474,0.134,,0.973,0.129,5.97239848,0.0453,,5.2,A,--,29.273
109,HII2644,57.58708,24.466755,16.39,-42.25,1.0,0.89,HII2644 Tr727,93,HII2644,,,186.0,,,186.0,,5500,5594,0.619,,3.017,0.104,5.07153391,0.0305,,5.0,S,--,29.113
110,HII2665,57.588753,23.096392,20.6,-44.1,0.99,0.95,HII2665,94,HII2665,,,170.0,,,166.0,,5250,5366,0.513,,2.645,0.104,5.38756421,0.019,,5.4,S,--,
111,HII2741,57.64405,24.507822,18.22,-39.72,1.0,0.87,HII2741 DH675,95,HII2741,,,122.0,,,91.0,,4750,4792,0.205,,1.501,0.115,5.15798051,0.0469,,7.8,A,--,29.453
112,HII2786,57.666985,23.933065,16.05,-45.84,1.0,0.51,HII2786 HD283067 Tr772,96,HII2786,,,146.0,,,128.0,,6000,6071,1.19,,3.118,0.102,2.16659802,0.0158,,22.0,A,--,29.453
113,HII2870,57.714333,23.3291,14.87,-42.37,1.0,0.83,HII2870 DH685,97,HII2870,,,85.0,,,69.0,,4750,4840,0.222,,1.402,0.134,7.89395278,0.0422,,4.0,S,--,
114,HII2880,57.729527,24.197466,9.71,-38.92,1.0,0.22,HII2880 Tr795,98,HII2880,,,142.3,,,142.3,,5250,5261,0.4,,2.389,0.081,6.28238456,0.0231,,6.0,S,--,29.053
115,HII2927,57.77326,24.736776,14.56,-40.14,1.0,0.89,HII2927 HCG418 DH693,99,HII2927,,<=,30.0,,<=,60.0,,4100,4046,0.0987,<=,0.316,,0.26218183,0.1174,,95.0,F,--,29.413
116,HII3019,57.851673,24.087425,16.79,-41.54,1.0,0.93,HII3019 HCG429 DH710,100,HII3019,,,93.0,,,51.0,,4300,4192,0.127,,0.381,0.156,5.46870223,0.0446,,6.0,A,--,29.353
117,HII3031,57.86342,24.518692,22.4,-44.7,0.99,0.93,HII3031 HD24132 Tr848,101,HII3031,,,63.0,,,40.0,,7000,6935,3.98,,2.766,0.185,,,,230.0,--,--,
118,HII3063,57.874737,23.899223,22.52,-44.44,0.92,0.16,HII3063 Tr862 HCG431 DH713,120,HII3063,,,135.0,,,139.0,,4300,4292,0.122,,1.105,0.106,0.88393824,0.0338,,26.0,F,Rich,29.683
119,HII3096,57.91365,24.54894,22.75,-42.07,1.0,0.18,HII3096 Tr879 DH721,121,HII3096,,,254.0,,,254.0,,5000,4987,0.295,,2.706,0.093,4.21255021,0.1035,,6.2,A,Rich,29.813
120,HII3163,57.972446,24.387018,15.15,-29.05,0.86,0.04,HII3163 Tr911 HCG444 DH725,122,HII3163,,,256.0,,,222.0,,4500,4456,0.208,,1.801,0.113,0.41747738,0.1092,,60.0,F,Rich,29.853
121,HII3179,57.98689,23.901966,20.3,-47.1,1.0,0.96,HII3179 HD24194 TrR21,102,HII3179,Bin?,,140.2,,,140.2,,6000,6120,1.46,,3.238,0.074,4.85456989,0.0077,,4.3,S,--,29.343
122,HII3187,57.988895,23.33944,17.89,-41.16,0.98,0.91,HII3187 DH730,103,HII3187,,,93.0,,,71.0,,4500,4464,0.153,,0.908,0.135,7.62860983,0.0415,,6.2,S,--,
